,Temperature,A11,A3,A4,B1,B2,B3,B4,C10,C3,C4,D10,D3,D4,E3,E4,F3,F4,G10,G12,G3,G4,H3,H4,G11
,70,3310.35032455922,4412.07947852764,2092.67680477502,4346.5797361221,4346.5797361221,4461.22614432564,1981.85609058947,4400.15008223783,4935.93093175845,1986.92291908391,4292.5256798482,4882.17641610982,1978.66973350643,3668.53204753457,2000.40412664916,3668.53204753457,2002.7600476805,3310.35032455922,3705.90665403104,4882.17641610982,2002.32717375553,4855.76142196933,2002.99081200832,1981.38595002153
,70.5,3278.74282937569,4368.1657438277,2091.76445703124,4309.42759734558,4309.42759734558,4416.18861701922,1981.40716491466,4363.84695528376,4889.67872522413,1987.086095243,4256.67134106091,4836.11758908358,1978.32975926124,3633.34541352762,2000.46566427702,3633.34541352762,2002.49434556193,3278.74282937569,3662.78081047106,4836.11758908358,2002.41380024548,4806.04057324467,2002.71694698668,1981.03778066271
,71,3246.04379701337,4323.38791732636,2091.00014851626,4270.89723162068,4270.89723162068,4370.39619357666,1981.03938341414,4325.02905135923,4842.03172323261,1987.32099684661,4218.37217041431,4788.16695548673,1977.8846267616,3597.20482833862,2000.29356597714,3597.20482833862,2002.13745269091,3246.04379701337,3616.14865899836,4788.16695548673,2002.57268142733,4755.60716913121,2002.68648996205,1980.88057898509
,71.5,3212.51485464889,4277.88983828036,2090.2610692048,4231.31258831943,4231.31258831943,4323.73752285717,1980.80646066694,4284.15680000258,4793.46096931523,1987.33991034304,4178.12393133167,4739.23715792552,1977.3450916008,3560.3981725415,2000.01673381236,3560.3981725415,2001.76821544383,3212.51485464889,3565.13522566567,4739.23715792552,2002.71498683924,4705.16280062351,2002.61625248379,1980.81963797259
,72,3178.34876054408,4232.2801362106,2089.61077423024,4191.25242368462,4191.25242368462,4276.23917202083,1980.60469360836,4242.33946274062,4744.49898609588,1987.14145363838,4136.53116504592,4689.92365670865,1976.91366191516,3523.167461445,1999.44630664503,3523.167461445,2001.46522271562,3178.34876054408,3508.14284590779,4689.92365670865,2002.47545469154,4654.83710773837,2002.46625409932,1980.73791732771
,72.5,3143.83828434515,4186.81518042366,2089.13704218223,4151.1866501878,4151.1866501878,4227.96869865817,1980.54321903489,4199.57355509747,4695.73589172235,1986.88826582592,4094.56857120157,4640.53382622997,1976.64159200124,3485.88529752957,1999.01388088477,3485.88529752957,2001.14868783112,3143.83828434515,3443.07881545384,4640.53382622997,2002.47361676537,4604.63863913137,2002.3040848814,1980.50077665604
,73,3108.90738128577,4141.11305927062,2088.52060363457,4111.55108497745,4111.55108497745,4178.97574971141,1980.58274155663,4156.64235640079,4647.29766027069,1986.55593240053,4052.68346610616,4591.32447831999,1976.52489416792,3448.7374326214,1998.63559306215,3448.7374326214,2000.96126664663,3108.90738128577,3368.30868548925,4591.32447831999,2002.29828747111,4554.73911498703,2002.20488356976,1980.29996562654
,73.5,3073.55829832189,4095.05273713545,2087.83959087458,4071.94670751417,4071.94670751417,4129.43979727674,1980.68869041618,4113.9123057605,4599.31829807624,1986.12580710092,4010.5954871039,4542.51815952391,1976.58118986129,3411.9221652321,1998.39089365191,3411.9221652321,2000.85712195031,3073.55829832189,3282.05925749326,4542.51815952391,2001.96241125315,4505.19858534675,2001.85013334144,1979.91446285027
,74,3037.72506151226,4048.94532759929,2087.19137548573,4032.54632370579,4032.54632370579,4079.9768040273,1980.74367826961,4071.46401219897,4551.71469977526,1985.86757224811,3968.77528269162,4494.00736994536,1976.65687656162,3375.30949891647,1998.33370307552,3375.30949891647,2000.89443950917,3037.72506151226,3184.01163480821,4494.00736994536,2001.63628101551,4455.94428350324,2001.74909179136,1979.37571703498
,74.5,3001.28170308542,4002.60560221939,2086.54137597105,3993.43600855889,3993.43600855889,4031.33107278266,1980.63928992407,4029.17554753962,4504.40779017769,1985.87180606258,3927.3265010345,4446.22374007003,1976.74223353751,3338.97254670449,1998.54785066142,3338.97254670449,2000.98573287561,3001.28170308542,3075.4354763057,4446.22374007003,2001.41820630948,4406.91086058583,2001.67748500853,1978.70072766902
,75,2963.93807040846,3955.79112138877,2085.76875301368,3954.44614873165,3954.44614873165,3983.76328486888,1980.24155243191,3987.53469539915,4457.20731313856,1985.76038836613,3886.13950254664,4398.59669274251,1976.64774790404,3302.45585634177,1998.58532405754,3302.45585634177,2001.03303432077,2963.93807040846,2958.94810011714,4398.59669274251,2001.10853211397,4358.16588682721,2001.56539630825,1978.28238505453
,75.5,2926.35456630852,3908.56643816092,2085.12221849559,3915.70292039881,3915.70292039881,3937.69869543476,1979.72347992341,3946.0599940228,4410.0920858795,1985.69461697168,3845.40010703717,4351.62446761415,1976.41508108928,3265.95990423925,1998.64681408873,3265.95990423925,2000.94041046685,2926.35456630852,2838.39563531199,4351.62446761415,2000.96731082983,4309.52586426784,2001.42076478348,1978.00353428146
