,Temperature,A8,A9,A12,B8,B9,C11,C8,C9,D11,D8,D9,E8,E9,F8,F9,G8,H8,B12
,73.5,4307.31364866727,4103.1669064398,2087.47208589286,4202.6298876708,4012.06373265614,3806.58075155431,4315.51477080747,4055.48596749498,3308.92495408781,4239.68649802575,4090.15193750077,4202.16693772824,4002.38566931077,4071.94670751417,4051.55796168183,4236.34310298301,4015.87727229494,2011.64662955399
,74,4261.78567739145,4063.67771708725,2085.04848827387,4159.0818649846,3973.71563364709,3771.95986083668,4270.4646752569,4016.72466217058,3282.74213205774,4196.62262671775,4050.35989297908,4160.32489462598,3964.09604611417,4032.54632370579,4012.21083494353,4194.6712409453,3978.61031150191,2011.24651861401
,74.5,4216.62282480696,4024.35263991686,2082.56241645313,4115.92220983992,3935.79456272735,3737.234420021,4225.78658657235,3978.31560623489,3256.20627510691,4153.60833525823,4010.84431765088,4118.63367504727,3926.14730831771,3993.43600855889,3973.14382433663,4153.53796578483,3941.7174257789,2010.89358077307
,75,4171.85933306266,3985.07095020592,2079.91434645181,4072.94343602372,3897.94081792473,3702.80681095606,4181.82640383221,3939.99053574859,3229.46041386995,4110.87465833931,3971.32996999413,4077.19527469354,3888.07024584051,3954.44614873165,3934.21459147103,4112.46576448192,3905.09029891721,2010.63727340582
,75.5,4127.81602708225,3946.06404472919,2077.37934861027,4030.56451209741,3860.15320990781,3668.39494296041,4137.92742747943,3901.8112171007,3202.67798700471,4068.24875795997,3932.16282996312,4036.13862713323,3850.10815821577,3915.70292039881,3895.44328578294,4071.68987611525,3868.50619334765,2010.60208569825
,76,4083.97214849982,3907.03608268407,2075.18826396142,3988.36176178911,3822.33242121981,3633.70915993364,4094.39917966763,3863.56866270485,3176.39731050219,4025.8513464735,3893.25574049656,3995.17230438777,3812.33534466428,3876.87219672727,3856.94276135074,4031.07295176067,3831.76666436104,2010.36362430357
,76.5,4039.63257915219,3867.59540135409,2072.98283601624,3946.25218965935,3784.25816492423,3599.32040936549,4050.86626769014,3825.22327096236,3149.76130960646,3982.92116320705,3853.93925194108,3953.77689921302,3774.35946097469,3837.77994894096,3818.11099262314,3990.14466226139,3794.9227890946,2010.11833980313
,77,3994.53284990185,3826.9967483615,2071.05150035943,3903.11023890146,3745.12156960853,3564.36665667517,4006.07711605149,3785.92015945449,3122.7768644825,3939.2507988886,3813.62691650431,3911.48236764936,3735.4586006785,3797.56648342914,3778.30546030453,3948.17512114046,3757.11695646012,2010.11140972543
,77.5,3947.42399519036,3784.08658990139,2069.58893002086,3857.55055294254,3703.74567828245,3527.57523623438,3958.7950842294,3744.42346224544,3094.64078374422,3893.33827140975,3770.83262926033,3866.79404203686,3694.45084107467,3754.92597164044,3736.01789843756,3903.95845737629,3716.89047897562,2009.9232847833
,78,3895.3432937814,3736.18097849274,2068.26608572989,3807.04233894801,3657.57222450202,3486.88289543612,3906.44336840821,3697.96462573858,3063.9098200868,3842.16680453092,3722.69313511068,3817.13664232777,3648.96692019808,3707.09250706263,3688.76371354799,3854.5881273286,3671.65357664242,2009.55756684547
,78.5,3834.15992259319,3679.04320807252,2066.74194364688,3747.41601649983,3602.53047013348,3439.0869771628,3844.17715619146,3642.70496088924,3027.5762219035,3781.19971865005,3664.83351784994,3758.24064719165,3594.65782822529,3650.3932823022,3632.24068589866,3795.79216099353,3617.59156026994,2009.23450293309
,79,3756.7844698399,3605.75449156979,2065.18298482945,3671.47716488759,3531.91227148676,3378.07274144532,3764.86519242126,3571.60970821404,2981.73280930408,3703.57668453054,3591.19018921706,3683.25134897684,3524.96223910597,3577.80487995838,3559.86118085019,3720.53030047794,3547.77340253023,2009.00726855422
,79.5,3653.95951678182,3508.58273807806,2063.62967239101,3570.93580094699,3437.96852129495,3296.82977830349,3660.33827212096,3476.87000466942,2920.18611240484,3600.47672416488,3493.45787089945,3583.65426542522,3432.34204330417,3481.16660247472,3463.74440492433,3620.34700472533,3454.56740681292,2008.50345517097
,80,3517.56427999334,3380.24798657028,2061.97371248091,3438.43935429067,3313.71805433401,3189.65960619355,3523.08501836059,3351.69950071294,2837.75296848597,3464.68501779751,3364.90194412276,3451.86912942338,3310.16356064121,3353.8514331551,3337.32962751376,3487.9910801754,3331.36784725414,2008.15908099458
