,Temperature,A5,A6,A7,B5,B6,B7,C5,C6,C7,D5,D6,D7,E12,E5,E6,E7,F12,F5,F6,F7,G5,G7,H5,H7
,70,4298.47908132312,4012.32561777262,2483.69874481967,4298.47908132312,4012.32561777262,2067.21119694319,4298.47908132312,3920.45111628897,3955.7890640009,4283.99564110598,4071.50000656826,4119.19226660037,2089.34779489156,3958.67561827911,4370.74632578705,4514.27106673927,3067.09291613079,4126.23447118044,4012.32561777262,4404.54636224542,4298.47908132312,4571.18445504062,4298.47908132312,4472.00007115564
,70.5,4261.6714882923,3974.63572902908,2468.92864696592,4261.6714882923,3974.63572902908,2065.15509576368,4261.6714882923,3884.92949332864,3923.00913863639,4242.03078140114,4033.80656675389,4087.44589424203,2086.88518564141,3921.86834894549,4330.97166989515,4480.07252798385,3038.18894399912,4090.186864621,3974.63572902908,4373.57037360943,4261.6714882923,4537.95404965466,4261.6714882923,4439.46414806051
,71,4222.26390490395,3936.82212062292,2454.24888942207,4222.26390490395,3936.82212062292,2063.01347036714,4222.26390490395,3847.45362017279,3888.36816541064,4198.95566138797,3995.88972668903,4053.56218284791,2084.35708397188,3884.09595992186,4289.71226239155,4443.32067901688,3009.00941388289,4054.10888379482,3936.82212062292,4340.53405885275,4222.26390490395,4502.52865410822,4222.26390490395,4405.12699275862
,71.5,4181.10425976466,3898.83574475261,2439.32818802292,4181.10425976466,3898.83574475261,2060.73786682292,4181.10425976466,3808.78966222884,3852.2479189222,4155.35504316459,3957.84403664375,4017.77944661801,2081.60160366447,3846.24509257822,4247.15045490353,4404.4096876566,2979.55786131502,4018.12359052946,3898.83574475261,4305.63216499962,4181.10425976466,4465.14059061603,4181.10425976466,4369.08406717521
,72,4138.89018487403,3860.87727350717,2424.33179137076,4138.89018487403,3860.87727350717,2058.17090436465,4138.89018487403,3769.46383227845,3815.12197052259,4111.60306384466,3919.76224510498,3980.10241385859,2078.87288480306,3808.39915028133,4203.72137349892,4363.39857594277,2949.82272692912,3982.19007535467,3860.87727350717,4268.41340278327,4138.89018487403,4425.57498973542,4138.89018487403,4331.11094974
,72.5,4096.29385374919,3823.24955155611,2409.46292192478,4096.29385374919,3823.24955155611,2055.71487433283,4096.29385374919,3729.91440475511,3777.22406711312,4067.84907033343,3881.79659580415,3941.45747920482,2076.05606685001,3770.64684720318,4160.18012298857,4321.07958663872,2919.91491940438,3946.17275679655,3823.24955155611,4229.71371195,4096.29385374919,4384.21232731053,4096.29385374919,4292.09303877315
,73,4053.67973747806,3785.70627553588,2394.89016629618,4053.67973747806,3785.70627553588,2053.14564427337,4053.67973747806,3690.45908359809,3738.70200823537,4024.05003708511,3843.70885845506,3901.5463364519,2073.4513833172,3732.94332087456,4116.72891389935,4277.41960054908,2889.7375934293,3910.24187363348,3785.70627553588,4189.73647855842,4053.67973747806,4341.81580714176,4053.67973747806,4252.36875133927
,73.5,4011.33455447034,3748.39113660306,2380.18170960341,4011.33455447034,3748.39113660306,2050.72500190113,4011.33455447034,3651.14536932887,3700.17354658501,3980.34108856257,3805.43023471036,3860.72596496785,2071.01137848939,3695.46670733873,4073.42910091377,4232.97718837003,2859.42326023027,3874.57627205714,3748.39113660306,4148.75917522792,4011.33455447034,4298.6834344874,4011.33455447034,4211.96395577675
,74,3969.27950271414,3711.26157334918,2365.69933032363,3969.27950271414,3711.26157334918,2048.34808612935,3969.27950271414,3612.12664676706,3662.12148622333,3936.80489445565,3767.02830771244,3819.47029405688,2068.73277881453,3657.76605910055,4030.42132086812,4188.2890919309,2828.90924814671,3839.13333866842,3711.26157334918,4107.51759457567,3969.27950271414,4255.06161510495,3969.27950271414,4171.43511211378
,74.5,3927.54671823197,3674.40323665112,2351.07068584356,3927.54671823197,3674.40323665112,2046.21297115676,3927.54671823197,3573.32122596221,3624.1094698806,3893.66749923741,3728.63125513126,3778.04568685844,2066.48996032378,3620.19698387053,3987.66801753268,4143.58777323282,2798.02973437772,3803.89370894444,3674.40323665112,4066.6827081646,3927.54671823197,4211.39668539603,3927.54671823197,4131.07562111216
